HEADER,LINK,KEYWORDS
Трансферы в/из Муйне,https://t.me/muine_faq/19,"транспорт, трансфер, машина, аэропорт, хошимин, автомобиль, авто, джип, водитель, далат, баолок, хошимин, фанранг, попутчики"
Доставка еды и торты на заказ от Sweet BaDu,https://t.me/muine_faq/168,"доставка еды, торт, пирожные, еда, доставить, доставляет, торты, пироженые, Sweet BaDu, Sweet Ba Du, баду, свит, бургер, торт, кондитер, сладости, пироженное,пироженое, пирожное, десерт, на заказ, еда, чизкейк"
Серфинг и кайт,https://t.me/muine_faq/4,"серфинг, кайтсерфинг, кайтборд, кайтбординг, кайт, серф, волна, серфборд, кайтшкола, виндсерфинг, обучение, спорт, ветер, урок, на пене, лоски"
Шлемы,https://t.me/muine_faq/86,"шлем, фулфес, зашита, каска, мотошлем, мото"
Ювелирные магазины ,https://t.me/muine_faq/23,"ювелирный, жемчуг, драгоценности, колье, камни, изумруд, рубин, топаз, жемчужина, ювелирка"
Кокосовое масло: как выбирать и где покупать,https://t.me/muine_faq/25,"кокос, кокосовое, масло, коконат"
https://t.me/muine_delivery,https://t.me/muine_faq/134,"еда, бургер, кухня, торт, пирожное, доставка, поесть, жрать, обедать, завтрак, меню, креветки, лобстеры, морепродукты, рыба, гриль, кафе, ресторан, food, рестораны, рестораны, гриль, лобстеры, гребешки, рис, локалка, столовка, столовая, суши, пицца, пиво, пельмени, пирожки, стейк, страус, свинина, сопливчики, фудкорт, пицца, итальянский, русский, Где вкусно поесть, выечка"
Про страховку,https://t.me/muine_faq/249,"страховка, страхование, страховой, страховать, застрахуй, страховой случай, врач, больница, авария, полис"
магазины с мотозапчастями,https://t.me/muine_faq/28,"запчасти, мотозапчасти, магазин, запчастей, ремонт, байк, чинить, сервис"
Как избавится от комаров?,https://t.me/muine_faq/30,"комар, насекомое, мошка, мухи"
Какую воду покупать?,https://t.me/muine_faq/31,"вода, vinhao"
Аптеки Муйне и аналоги лекарств,https://t.me/muine_faq/55,"аптеки, лекарства, медицина, фарма, фармакология, вита, аналог, таблетки, пилюля, мазь, бинт, йод, перекись, пластырь, беруши, левомеколь"
"Купальники, плавки, пляжная и спортивная одежда",https://t.me/muine_faq/56,"69 slam, одежда, купальник, шмотки, шоппинг, шорты, майки, футболки, обувь"
Оптика в Муйне,https://t.me/muine_faq/57,"оптика, линзы, очки, жидкость, глаза, диоптрии, диоптриями, солнцезащитные"
Азартные игры,https://t.me/muine_faq/151,"Азарт, карты, казино, игра, карточные, фишки, покер, MollysPokerClub, моллис"
Фукуй,https://t.me/muine_faq/58,"фукуй, остров"
"магазин ""Молочка""",https://t.me/muine_faq/87,"продуктовый, магазин, продукты, сыр, молоко, гречка, овсянка, мюсли, творог, пельмени"
Биахой,https://t.me/muine_faq/88,"биахой, пиво, био Хой, биохуй, биохой, пивная, крокодил, гриль, пивко, пивас, ресторан, еда, шашлык, стейк, страус, пивка, Где вкусно поесть"
Платные бассейны в Муйне,https://t.me/muine_faq/89,"бассейн, басик, купаться"
магазины инструментов,https://t.me/muine_faq/90,"инструмент, дрель, шуруповерт, отвертка, ножовка, пила, рулетка"
Где купить стики iqos,https://t.me/muine_faq/91,"iqos, стики, айкос, икос"
Замена газовых баллонов,https://t.me/muine_faq/92,"газ, газовый, баллон, плита, поменять, заменить"
"Где купить кальяны, уголь и табак",https://t.me/muine_faq/280,"кальян, шиша, покурить, курнуть, потабачить, табак, никотин, кальянные, альфакер, дарксайд, уголь"
Где купить цветы?,https://t.me/muine_faq/71,"цветы, букет, розы, цветочный, флорист, арка, свадебный, свадьба"
Барберы,https://t.me/muine_faq/501,"парикмахер, парикмахерские, борода, барбер, прически, стрижка, бороду, подстричь, стричь, салон, волосы, косы, дрэды, окрашивание"
Баня и сауна в Муйне,https://t.me/muine_faq/74,"Баня, сауна, парилка, банька, веник, хамам"
Где купить чемодан?,https://t.me/muine_faq/75,"чемодан, чемоданы, сумка"
Почта,https://t.me/muine_faq/141,"индекс, почта, почтовые, почтальен, почтампт, посылка"
Рынки ,https://t.me/muine_faq/22,"рынок, базары, торговля, посуда, гамак, инструменты, овощи, продукты, фрукты, рынки"
Жемчуг,https://t.me/muine_faq/23,"жемчуг, ювелирный, ювелирка, кольцо, серьги, браслет, колье, украшения, топаз, изумруд, сапфир, золото, платина, серебро"
Кофе,https://t.me/muine_faq/138,"кофе, кофешоп, кофейный, робуста, арабика"
Вэйп,https://t.me/muine_faq/277,"вэйп, вейпшоп, жижа, пар, парить, вейпер, вейп"
ремонт телефонов,https://t.me/muine_faq/67,"ремонт, починить, экран, прошить, перепрошить, ноутбук, припаять"
ремонт ноутбуков,https://t.me/muine_faq/40,"ремонт, ноутбук"
ремонт бытовой техники,https://t.me/muine_faq/142,"ремонт, кондиционер, чистка, кондер, стиралная, холодильник"
детские магазины,https://t.me/muine_faq/143,"детский, магазин, для детей, дети, ребенок, детская, памперсы"
"нотариус, консульство РФ",https://t.me/muine_faq/108,"нотариус, консульство, посольство, доверенность, заверить, паспорт, загран, загранпаспорт, посол"
Хозтовары,https://t.me/muine_faq/63,"хозтовары, посуда, магазин, бытовая, химия, хамтьен, рынок, базар, клей, суперклей, стройматериалы, краска"
Мануальный массаж,https://t.me/muine_faq/408,"мануальный, массаж"
Товары для рыбалки и рыбалка в Муйне,https://t.me/muine_faq/35,"рыбалка, рыба, леска, удочка. грузило, сеть, невод, спининг, рыбацкий, магазин"
Фото на документы,https://t.me/muine_faq/39,"фото, документы, визу, паспорт, распечатать, фотокопи, фотокопия"
Пляжи,https://t.me/muine_faq/16,"бассейн, клуб, отдых, позагорать, басик, шезлонг, пляж, пляжный, загар, песок"
"Магазин ""Молочка""",https://t.me/muine_faq/87,"молочка, у рынка, магазин, продукты, молоко, сыр, творог, мюсли, мясо, пельмени"
Как не платить комиссию при снятии в банкомате?,https://t.me/muine_faq/265,"банкомат, комиссия, vpbnk, тинькофф, карта, мастеркард"
"Где менять доллары, евро или рубли на донги?",https://t.me/muine_faq/42,"евро, рубли, донги, обмен, обменник, валют, валюта, баксы, долар, доллары"
"Печать документов, наклеек, флаеров и тд. ",https://t.me/muine_faq/44,"наклеек, флаеров, распечатать, принтер, ксерокс, напечатать,  распечатка, копия, копир, печать, сканер, отсканировать, скан"
Гинеколог,https://t.me/muine_faq/43,"Гинеколог, больница, врач"
что такое Тэт?,https://t.me/muine_faq/144,"праздники, тэт, тет, новый год, праздничные дни, лунный, новый, год"
Электричество,https://t.me/muine_faq/66,"электричество, электроэнергия"
Можно ли ввозить или использовать квадрокоптер во Вьетнаме ,https://t.me/muine_faq/77,"квадрокоптер, дрон, dji, квадрик, коптер"
Стоматология,https://t.me/muine_faq/69,"стоматология, зуб, зубной, зубные, стоматолог, дантист, парадонт, брекеты, протезирование, коронка, пломба, отбеливание"
Тиматик,https://t.me/muine_faq/123,Тиматик
Где купить фрукты?,https://t.me/muine_faq/79,"рынок, базар, фрукт, фруктовые, овощи, манго, бананы, авокадо, арбуз, дуриан, маракуйа, папайя, драгонфрут, тропические"
Про лихорадку денге,https://t.me/muine_faq/52,"денге, лихорадка, болезнь, заболевание, лечить, лечение"
Где купить телефон и другую электронику в Муйне?,https://t.me/muine_faq/54,"телефон, электроника, ipone, айфон, смартфон, apple, ноутбук, ноут, комп, компьютер, стралка, стиральная, бытовая, техника, переходник, зарядка, зарядное, самсунг, сяоми"
Авиабилеты во Вьетнам и обратно,https://t.me/muine_faq/60,"авиабилеты, билеты, авиа, чартер, перелет, транзит, самолет, авиакомпания, аэрофлот"
Товары для шитья и вязания,https://t.me/muine_faq/68,"пряжа, ткани, ткань, нитки, иголки, крючки, рукоделье, крючок, вязальный"
Художественные магазины,https://t.me/muine_faq/80,"Художественные магазины, художественный, магазины, холст, краска, кисть, кисточка, акварель, подрамник"
Сквер в Фантьете ,https://t.me/muine_faq/81,"дети, досуг, парк, сквер, фантьет, фантик"
Vietnamobile,https://t.me/muine_faq/145,"Vietnamobile, вьетнамобайл, оператор, симка"
До горы Таку на автобусах,https://t.me/muine_faq/135,"будда, гора таку, муйнетаку, таку, гора, автобус, достопримечательность, экскурсии"
Рыбацкая деревня Муйне,https://t.me/muine_faq/130,"рыбацкая, рыбаки, рынок морепродуков, креветки, кальмары, тазики, закат, море, рыба, лобстеры, раушки, гребешки, гриль, достопримечательность"
Храм Кита в Фантьете,https://t.me/muine_faq/127,"кит, храм, кита, достопримечательность, храмы, экскурсии, экскурсия"
Ручей Фей,https://t.me/muine_faq/126,"ручей, фей, на ручье, ручья, достопримечательность, минизоопарк, зоопарк, река, речка, водопад, обезьяны, обезьяна, дикообраз, питон, голуби, крокодил, крокодилы, дети, экскурсия, экскурсии"
Фудкорт,https://t.me/muine_faq/85,"фудкорт, еда, ресторан, кафе, ужин, ужинать, вок, гриль, стейк, крокодил, wok, индийская"
минизоопарк Vita Garden Mini-Zoo,https://t.me/muine_faq/125,"ручей фей, ручей, фей, фея, на ручье, ручья, достопримечательность, минизоопарк, зоопарк, река, речка, водопад, обезьяны, обезьяна, дикообраз, питон, голуби, крокодил, крокодилы, дети"
Гора Таку,https://t.me/muine_faq/120,"Гора Таку, достопримечательности, гора, горы, таку, будда, лежачий, храм, фуникулер"
Маяк Кега,https://t.me/muine_faq/118,"Маяк Кега, на маяк, маяке, маяки, маяк, остров, лестница на маяк, кега, достопримечательности"
Чамские Башни в Муйне,https://t.me/muine_faq/116,"Чамские Башни в Муйне, чамы, чамские, башня,башни, храм, история, достопримечательности"
Озеро Лотосов,https://t.me/muine_faq/115,"Озеро Лотосов, достопримечательности, дюны, озеро, лотус, лотос"
Красные дюны,https://t.me/muine_faq/113,"Красные дюны, красные, пески, пустыня, дюна, бархан, достопримечательности"
От зуда после укуса песчаных блох ,https://t.me/muine_faq/112,"От зуда, после укуса песчаных блох, блохи, мошка, комары, насекомые, мазь, лекарства, аптека"
Права международные действуют? ,https://t.me/muine_faq/103,"приказ, права, документ, водительские, водительское"
VPBank с карт Тинькофф без комиссии,https://t.me/muine_faq/265,"VPBank, Тинькофф, тиньков, банкомат, atm, снять, деньги, наличные, фантьет, комиссия, мастеркард, кредитная карта"
приказ о принятии конвенции,https://t.me/muine_faq/103,"приказ, конвенция, принятие конвекции"
куда пойти с детьми в муйне?,https://t.me/muine_faq/100,"дети, развлекательный, зоопарк, развлечение, минизоопарк"
Из Далата в Муйне ,https://t.me/muine_faq/99,"Далат, транспорт, автобус, далатмуйне"
Спрей для горла,https://t.me/muine_faq/98,"от горла, горло, болит, простыл, простужен, лекарства"
"Что купить из натуральных лекарств во вьетнамской аптеке, если вы простыли?",https://t.me/muine_faq/95,"горло, болит, простыл, простужен, лекарства, простыл, простужен"
Как часто идут дожди? График осадков,https://t.me/muine_faq/158,"осадки, график, осадков, волны, море, погода, тайфун, цунами, молния, дождь, дожди, гроза"
новый тариф viettel,https://t.me/muine_faq/160,"viettel, виеттель, тариф, симка, симкарта, оператор"
Тренер,https://t.me/muine_faq/153,"тренер, спорт, фитнес, акробатика, министр спорта, тимур, спортзал, спортзалы, тренажерный"
Йога,https://t.me/muine_faq/107,"йога, спорт, спортивный, трехглазые, трехглазый, веган"
"Первый поворот на хайвей, столовка",https://goo.gl/maps/Xp3ecwpMnRPiBfoLA,"столовка, хайвей, столовка, столовая, первый, точка"
Тату в Муйне,https://t.me/muine_faq/180,"тату, татуировка, татуировать, шрамы, перекрыть, эскиз, Slava Kroc13"
спортзалы в Муйне,https://telegra.ph/Sportzaly-trenazhernye-zaly-12-18,"спорт, спортзал, зал, залы, тренажерный, тренажер, тренер, штанга, штангу"
Батутный центр Jump Arena,https://t.me/muine_faq/182,"батуты, батуты, батут, спотзал, спорт, турники, йога, бокс, танцы, тренер, тенажор, тренажеры, прыгать, прыжки, растяжка, латино, спортивные, на спорте"
чат об аренде жилья,https://t.me/muine_faq/183,"жилье, аренда, гест, недвижимость, вилла, дом, гестхаус, апарты, квартира, дом, квартиру, снять, жильё"
SURF4YOU школа виндсерфинга,https://t.me/muine_faq/185,"windsurf, windsurfing, серффою, surf4you, виндсерф, верер, парус, парусный, спорт, SurfForYou, ветер, волна, волны"
"Реклама в боте, в чатах и соцсетях. Пишите -",https://t.me/usinghelp,"Реклама в боте, реклама в чатах, чат, чаты, телеграм, канал, реклама, дизайн, телега, сотрудничество, партнерство"
Детские сады Муйне,https://t.me/muine_faq/405,"детский, дети, детсад, детское, сад, садик, ребенок, няня, воспитатель, воспитатель, дедсад"
Полет на параплане,https://t.me/muine_faq/204,"параплан, полет, Орлов, развлечения, экскурсии, развлечения, экскурсия, полетать, дельтаплан"
мойка в Муйне,https://goo.gl/maps/J64Zx9vijej6dypa8,"мойка, помыть"
Винный замок,https://goo.gl/maps/fgTjFTiiN4pnfoiK6,"точка, вино, винный, замок, достопимечательность, достопримечательности"
Батутный центр Jump Arena,https://g.page/trampolineMuiNe?share,"батуты, Impulse, скинь точка, скиньте точка, спорт, йога, танцы, бокс, спортзал"
Магазин мотоэкипа,https://goo.gl/maps/6VQtT6N6b95kqiPW8,"шлем, шлемы, шлемак, каска,мотоэкип, мотоэкировка, скинь точка, скиньте точка"
магазин электроники FPT,https://goo.gl/maps/GEf4HUaNkcv1FUK97,"скиньте точка, телефон, смартфон, андроид, самсунг, купить, холодильник, стиральная машина, стиралку, стиралка, блендер"
Пляж Малибу,https://goo.gl/maps/F1TFissA4YZbBuao9,"Malibu Beach, малибу, вейвспот, скиньте точка, пляж"
Пляж Хомром,https://goo.gl/maps/C2KHtNaa8oQ4sBDz9,"Hom Rom, Хомром, на карте, хом ром, хонррон, хомом, точка, пляж, пляжи"
Лоттемарт ,https://maps.app.goo.gl/iJ9cywQXM5dxQUgP9,"LOTTE Mart, фантьет, фантхиет, лотте, лоттемарт, лотте март, супермакет, магазин, кино, кинотеатр, точка, Lotte"
Co.opmart на карте,https://goo.gl/maps/ad3qcY6fbxuiPqbj9,"торговый, центр, ТЦ, соопмарт, кооп, купмарт, супермакет, магазин"
мойка байков,https://goo.gl/maps/Ftu2wHqLG1jmfz7P9,"мойка, автомойка, помыть, мыть, байк, отмыть, точка, скинь точка"
Заправки и бензин в Муйне,https://t.me/muine_faq/65,"Заправки, бензин, бенз, азс, топливо, дизель, солярка, бензиновый, заправить, заправиться"
Офис Футабас ,https://goo.gl/maps/37vSgjoWqGpwNXLN9,"FUTA, фута, автобус, футабас, futa, futabus, futa bus"
Офис Sinh Tourist ,https://goo.gl/maps/vSbSrryNG2Cnzr8C8,"Sinh Tourist, автобус, синьтурист, SinhTourist, точка"
Офис Ханькафе ,https://goo.gl/maps/a2fqzYUwXrw3gcnR6,"автобус, автобусы, транспорт, опэнбас, слипбас, слипер, слиппер, ханькафе, hanh cafe, точка"
Права,https://telegra.ph/Kakie-prava-nuzhny-vo-Vetname-03-10,"права, водительские, какие нужны права, международные, категория, документы, полиция, байк"
Байки на которые не нужны права!,https://t.me/muine_faq/194,"байк, права, мотобайк, скутер, в аренду, байки в аренду, байк в аренду, без прав, полиция, мото, мотоцикл, байки, байков, Байки на которые не нужны права, не нужны права, водительские, водительское, удостоверение, пдд, гаи, копы, полиция, аренда байка, аренда байков"
Ремонт байков на профессиональном уровне!,https://t.me/muine_faq/195,"мотосервис, мото ремонт, байки, байк, мотобайк, механик, мотомеханик, механник, скутер, мопед, покраска, кастом, мотослесарь, сварка, сварочные, покасочные, сварщик, аренда байка, шиномонтаж, сто"
Управление байком. Права,https://t.me/muine_faq/335,"права, водительские, международные, категория, документы, полиция, аренда, байк"
Где стоят посты полиции?,https://t.me/muine_faq/64,"полиция, менты, песочные, копы, дорожная полиция, посты, пост, гаи, гибдд, права, объезд, песчаные, песочные, песчанные"
Госпиталь Анфук,https://maps.app.goo.gl/ABgH9yL6mm8G93mw8,"госпиталь, Анфук, анфуок, больница, точка"
Виндсёрф-школы в Муйне,https://t.me/muine_faq/186,"Виндсёрф, школа, SURF4YOU, винд, виндсефинг, виндсерф, виндсёрфинг, Ветратория, Пять квадратов, ветер"
Cалон красоты Nail Bar,https://t.me/muine_faq/197,"салон красоты в Муйне, ногти, маникюр, афрокосы, афрокосички, педикюр, наращивание, укрепление, выравнивание, восстановление, ногтевой, пластины, гель-лак, все виды дизайна, мехенди, тату, татуировка, хной, опраска, ноготь, ногти, АФРОКОСИЧКИ, косы, афокосы, дреды, ШУГАРИНГ, восковая, эпиляция, эпилиовать, воск, скраб, массаж, Наращивание РЕСНИЦ, рреснички, ресницы, Коррекция, окрашивание БРОВЕЙ, бровей, брови, краска, хна, для волос, Ламинирование, ресниц, окрашивание, Ботокс, косметолог, косметология, косметика, Микроблейдинг, век, губ, пудровые, АРОКОСИЧКИ, ПИРСИНГ, нэйлбар, нейл-бар, нэйлбар, нэйл-бар, nail bar, nail-bar, nailbar,салон, салоны, маникюра, маникюру, волосы, волос, волоса, волосов, окраски, стрижки, стрижка"
Магазинчик Брюс Ли,https://goo.gl/maps/UmnWWX3tAoGgJYTM8,"обмен, какао, кофе, самогон, валюты, валюта, обменник, доллары, баксы, поменять, точка, точка, скинь, скиньте, брюсли, брюс, ли, брюс-ли, магазин"
Спа в Муйне,https://t.me/muine_faq/201,"Спа в Муйне, салон, массаж, алоэ, ботаника, спа-салон, спасалон, spa, обетывание, процедуры, спа, спасалон"
Немного про Лоттемарт,https://t.me/muine_faq/222,"LOTTE Mart, фантьет, торговый центр, тц, фантхиет, лотте, лоттемарт, LOTTE Mart Phan Thiet, лотте март, Lego, супермакет, магазин, кино, кинотеатр, супермаркет, супермаркеты, магазин, продуктовый, одежда, продукты, Lotte"
Co.op Mart - народный супермаркет,https://t.me/muine_faq/203,"копмарт, купмарт, кооп, коопмарт, супермаркет, супермаркеты, магазин, продуктовый, одежда, продукты, coop, coop mart, coopmart, cupmart, фантьет, фантхиет"
Гестхаус в Камрани (в этом районе несколько),https://goo.gl/maps/AWiFtcL1k9voZxiUA,"Гестхаус в Камрани, камрань, камран, в камрани, отель в камрани, гестхаус, аэропорт, в аэропорту, точка"
Оформление заграничного паспорта в Хошимине,https://t.me/muine_faq/207,"хошимине, в сайгоне, паспорт, загран, загранпаспорта, заграна, документ, оформить, сделать, новый паспорт, посольство, консульство, РФ, сайгон, хошимин"
Брозадобро - серфинг и кайт!,https://t.me/muine_faq/228,"серфинг, кайтсерфинг, кайт, серф, сёрф, серфер, серфить, волны, волна, серфборд, кайтшкола, виндсерфинг, обучение, спорт, ветер, brobar, brozadobro, развлечения, обучение, уроки, урок, волны, на пене, лоски, серфборд, серфить, сёрф, сёрфинг, джонни, аренда серфа, аренда досок, аренда доски, аренда кайта, малибу, пляж"
Чат о кайте и серфинге,https://t.me/muine_kite,"серфинг, кайтсерфинг, кайт, серф, сёрф, серфер, серфить, волны, волна, серфборд, кайтшкола, виндсерфинг, обучение, спорт, ветер, обучение, уроки, урок, волны, на пене, лоски, серфборд, серфить, сёрф, сёрфинг, серфа, волна, ветер, чат, серфчат, кайтчат, в чате, прогноз, волнорез, малибу, дует, парусный, парусные, экстрим"
авиабилеты,https://t.me/muine_faq/60,"авиабилеты, авиа, билет, билетный, самолет, перелёт"
прачечная тут,https://maps.app.goo.gl/6Z6yXyYeAx2RszT86,"прачечная, прачка, стирка, постирать, химчистка, стиральная, точка"
изделия из кожи крокодила,https://maps.app.goo.gl/61bNsEMSjTCA9pL39,"зелёный тур, кожа, кожаные, кожаные, кожу, шкура, шкуру, шкуры, кошелек, ремень, сумки, сумка, крокодил, кракадил, кроко, аллигатор, крокодиловый, крокодиловая, крокодилья"
Гольф-клуб Sea links,https://maps.app.goo.gl/cKsbvm7YAoMb5fNF8,"гольф, гольф-клуб, поле для гольфа, sea links"
Арарат,https://maps.app.goo.gl/iZeRXpmptqgikv4A9,"Арарат, армянский, ресторан, еда, точка, арарат"
Городской пляж в Фантьете,https://goo.gl/maps/Fttqc5NW4Fvnczgd7,"пляжный, на пляже, пляже, пляжу, пляжей, фантик"
Чамские Башни ,https://goo.gl/maps/wt1188fVtJjKLUgn7,"чамы, чамские, башня, храм, история, достопримечательности, точка"
Вокзал в Фантьете,https://goo.gl/maps/dQ3JZHbukXZXqvaw6,"Вокзал, поезд, поезда, паравоз, вокзале, вокзальный, жд, железная дорога, купе, вагон"
Буфет WoW BBQ,https://goo.gl/maps/SSosuaiEupVAQUAu6,"морепродукты, гриль, еда, точка"
Йога-дом на горе,https://goo.gl/maps/mBuUjUNjXiWM66C78,"Yogadom Na Gore, йога, йогадом, йога-дом, йога дом, на горе, йогу, йогой, йоги"
Сколько фруктов можно взять с собой в самолет?,https://t.me/muine_faq/59,"фрукты, вывоз"
Крабница,https://t.me/muine_faq/36,"крабница, еда, морепродукты, краб, клешни, пиво, Где вкусно поесть"
Веганка на первом повороте,https://goo.gl/maps/n7SwrCdf3grTKt629,"Веганка, на первом повороте, веган, вегетарианец, вегетарианская, веганская, ведж, вег, еда, где, точка, точка, скинь, скину"
Веганка на втором повороте,https://g.page/Phap-Duyen?share,"Веганка, на первом повороте, веган, вегетарианец, вегетарианская, веганская, ведж, вег, еда, где, точка, точка, скинь, скину, второй поворот, на хайвей"
Безлимитный буфет,https://goo.gl/maps/k2XoFbP9fhY9zaqJ9,"Безлимитный буфет, еда, буфет, Буфет, BBQ, морепродукты, гриль, еда, Буфета, точка"
Bar 17 и Restaurant Luuly Vo,https://g.page/bar-17-and-restaraunt-luuly-vo?share,"бар 17, точка, точка, скинь, скинуть, 17, семмнашка, ресторан, бар, паб, похмелье, похмелья, пиво"
"Chillout Cafe",https://goo.gl/maps/fxbTCzfZdczZLupg7,"Chillout Cafe, чилаут, чилаут, чилаут кафе, точка"
Sindbad,https://g.page/kebab-shop-sindbad?share,"Sindbad, синдбад, синбад, доннер, кебаб, еда, точка"
Medicare ,https://goo.gl/maps/dvnV9EFEtDhRRfNq6,"mrdicare, точка, медикер, беруши"
TROPICAL Mini Golf,https://goo.gl/maps/LoBGT67cqrFH1WQF9,"минигольф, мини гольф, мини-гольф, точка"
Kim Shop,https://goo.gl/maps/1TtDTnsY4FgcDnfA7,"Kim Shop, кимшоп, ким-шоп, ким, шорты, купальники, купальник, шлепки, одежда"
Круглосуточный Mui Mart,https://goo.gl/maps/YpaTYnZ2B9dcd6sX6,"Mui Mart, точка, скинуть, круглосуточный, ночной, 24 часа, магазин, магазины, в магазин, магаз"
Оптика ,https://g.page/minhhunghotel?share,"оптика, линзы, очки, жидкость для линз, глаза, диоптрии, диопртиями, солнцезащитные, точка"
Хостел Longson,https://goo.gl/maps/sp4skhFW28c4xEoY6,"Хостел, Longson, точка, дорм, палатка, палатку, в хостеле, лонгсон"
Мойка в Фантике,https://maps.app.goo.gl/kZEfjHAXAaJSLThA8,"Мойка, автомойка, помыть, мыть, байк, отмыть, точка"
Фишермэн Шоу,https://goo.gl/maps/PdTFpvJApYce3hbaA,"Фишермэн Шоу, шоу, точка, точка, скинь, досуг, дети, концерт, танцы, танец, Фишермэн, Фишермен  "
волнорез,https://goo.gl/maps/aEDSDC3i4KmWy8cZ8,"серфинг, точка, волнорез, силинкс, силинк"
музыкальный магазин,https://goo.gl/maps/5NpmFVzzoVDwrTt1A,"музыкальный магазин, музыкальные, гитара, инструменты, инструмент, музыка, струны, струну, струна"
Еще один музыкальный ,https://goo.gl/maps/dBNhsxCQJhvG9YVP9,"музыкальный магазин, музыкальные, гитара, инструменты, инструмент, музыка, струны, струну, струна"
Ремонт музыкальных инструментов,https://goo.gl/maps/t6px97b68k7CRRkD8,"музыкальный магазин, точка, музыкальные, пианино, инструменты, инструмент, музыка, струны, струну, струна, рояль"
Музыкальные магазины,https://t.me/real_muine_locals/149013,"Музыкальные магазины, музыкальный, музыкальное, магазин, фантьет"
Офис Viettel,https://goo.gl/maps/o6BrCBmENc5rH9LY8,"Офис Viettel, вьеттель, вьетел, вьеттел, вител, витель, vitel, оперратор, оператора, сотовой, сотовый, связь, точка, 3g"
Офис Vinaphone ,https://goo.gl/maps/aQW6GYxf4tfJSMB47,"Vinaphone, винафон, офис, оператор"
Белые дюны,https://t.me/muine_faq/229,"Белые дюны, белые, пески, дюны, пустыня, песок, до пустыни, квадроцикл, квадроциклы, квалррик, на квадрике"
Все для праздников,https://goo.gl/maps/oJ3tzRQwKKjbb3988,"Все для праздников, для праздников, шары, гелевые, упаковка, подарочная, подарок, для вечеринок, точка, точка, скинь, магазин, подарки, день рождения, на день рождения, ребенку, украшения, сувениры, шарики, ленты, вседляпраздников, подарочный"
Иммиграционный офис ,https://goo.gl/maps/45ihv1yJGqsQGbct7,"виза, офис, эмминпационный, эмиграционный, имиграционный, визовый, в фантьете, просрочка визы, просрочена виза, просрочить, просрочена"
Фотомагазин и ремонт фото,https://goo.gl/maps/qvKwqjo91hJBNB6r7,"Фотомагазин, ремонт фото, ремонт, фотоаппаратов, фотик, сломался, фото, фото на документы, точка"
Приложение для страховок,https://www.tripinsurance.ru/app?partnerId=2612,"страховка, страхование, страховой, страховать, застрахуй, страховочка, стаховой случай, врач, больница, авария"
Хорошая страховка,https://www.tripinsurance.ru/?partnerId=2612,"страховка, страхование, страховой, страховать, застрахуй, страховочка, стаховой случай, врач, больница, авария"
Cargo Remote,https://goo.gl/maps/cKX72ynZDqSGPkKp6,"Cargo, Remote, карго, карго, точка"
Dragon Beach,https://g.page/DragonBeachClubLoungeBar?share,"Dragon Beach, драгон, бич, клуб, точка"
